2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmti10.ttf', index=0, name='cmti10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', index=0, name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', index=0, name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', index=0, name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', index=0, name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', index=0, name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', index=0, name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-07-26 14:23:14,233 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', index=0, name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,234 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', index=0, name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-07-26 14:23:14,234 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', index=0, name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,234 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', index=0, name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-07-26 14:23:14,234 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', index=0, name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-07-26 14:23:14,234 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', index=0, name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2026-07-26 14:23:14,234 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', index=0, name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2026-07-26 14:23:14,234 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\ryant\\OneDrive\\Documents\\Coding Projects\\Minecraft-tools-and-Schem-Generator\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', index=0, name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
